"DIN.PIN","Brand.Name","Manufacturer.Code","Dosage.Form","Strength","Effective.Date","End.Date","Active.Ingredients","Active.Ingredient.Class.and.Use","Other.Notes","conversion_factor"
9857413,"OxyNEO","PFP","CR Tab","80mg","2012-04-16","","Oxycodone hydrochloride","Opioid- chronic severe pain and sometimes cancer pain. Also used for palliative reasons","",NA
9857539,"Subutex","IND","SL Tab","2mg","2016-02-12","","Buprenorphine","Opioid- treatment of use disorder","",NA
9857571,"MS Contin","PFP","SR Tab","200mg","2017-01-31","","Morphine sulfate","Opioid- long term pain relief for severe pain","",NA
9857572,"Novo-Morphine SR","NOP","SR Tab","200mg","2017-01-31","","Morphine sulfate","Opioid- long term pain relief for severe pain","",NA
9857573,"M-Eslon","ETH","ER Cap","200mg","2017-01-31","","Morphine sulfate","Opioid- long term pain relief for severe pain","",NA
9857574,"Hydromorph Contin","PFP","CR Cap","24mg","2017-01-31","","Hydromophone hydrochloride","Opioid-long-term releif of severe/ cancer pain","",NA
9857576,"Hydromorph Contin","PFP","CR Cap","30mg","2017-01-31","","Hydromophone hydrochloride","Opioid-long-term releif of severe/ cancer pain","",NA
9857577,"Apo-Fentanyl Matrix","APX","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857578,"Co Fentanyl Matrix Patch","COB","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857579,"Mylan-Fentanyl Matrix Patch","MYL","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857580,"PMS-Fentanyl MTX","PMS","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857581,"Ran-Fentanyl Matrix Patch","RAN","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857582,"Sandoz Fentanyl Patch","SDZ","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857584,"Teva-Fentanyl","TEV","Trans Patch","75mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857585,"Apo-Fentanyl Matrix","APX","Trans Patch","100mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857586,"Co Fentanyl Matrix Patch","COB","Trans Patch","100mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857587,"Mylan-Fentanyl Matrix Patch","MYL","Trans Patch","100mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857588,"PMS-Fentanyl MTX","PMS","Trans Patch","100mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
9857589,"Ran-Fentanyl Matrix Patch","RAN","Trans Patch","100mcg/hr","2017-01-31","","Fentanyl Citrate","Opioid- chronic severe pain, usually end-stage pain","Not for use in opioid naïve patients",NA
